#{"t_start": 1778749374.1935945, "env_id": "None"}
r,l,t
627.342918,50,18.918728
671.16332,50,18.952535
723.532717,50,18.987741
765.463453,50,19.022138
614.948004,50,19.05608
636.192931,50,19.092346
810.707581,50,19.127663
382.295222,50,19.163557
724.51851,50,19.199159
708.154816,50,19.235158
584.938896,50,19.269384
817.246358,50,19.303067
437.677079,50,19.338439
566.65631,50,19.372211
750.602016,50,19.405782
733.804632,50,20.778722
583.174305,50,20.827964
492.20682,50,20.870653
718.841104,50,20.908224
441.845842,50,20.944498
574.244159,50,20.985411
1048.019828,50,21.021528
745.620765,50,21.053545
988.142549,50,21.089506
699.865646,50,21.126495
416.704024,50,21.162933
344.877112,50,21.198627
653.838494,50,21.235607
651.070757,50,21.271353
411.229054,50,21.30805
718.855465,50,21.344883
417.643167,50,21.380955
748.117561,50,21.416164
424.619946,50,21.461004
633.300699,50,21.508361
617.487887,50,21.581576
789.829611,50,21.656296
820.354167,50,21.708584
432.464483,50,21.763891
791.452135,50,21.820466
736.946045,50,21.868634
552.742661,50,21.906636
576.496065,50,21.94805
449.694001,50,21.983482
424.137569,50,22.021515
669.291329,50,22.058825
831.183279,50,22.095653
582.938659,50,22.135477
580.238832,50,22.172385
513.886169,50,22.211564
426.740708,50,22.247242
631.370448,50,22.285604
606.700424,50,22.325875
475.089517,50,22.367358
545.42156,50,22.406468
682.667324,50,22.445995
710.527021,50,23.912497
469.514056,50,23.95749
676.60995,50,24.000939
585.263514,50,24.049636
668.576841,50,24.092161
576.915219,50,24.129251
731.355764,50,24.16518
584.193184,50,24.202161
537.176461,50,24.23892
593.434456,50,24.276561
651.5861,50,24.315917
422.394334,50,24.352552
654.340149,50,24.389358
518.866604,50,24.431087
659.416244,50,24.469434
698.031957,50,24.511007
539.173275,50,24.547998
631.098921,50,24.58599
560.035824,50,24.626329
448.307979,50,24.66336
562.599514,50,24.701058
769.987477,50,24.739879
603.491916,50,24.778755
623.210524,50,24.817397
645.008811,50,24.850941
630.197801,50,24.885981
624.768903,50,24.920802
475.226827,50,24.953538
368.808661,50,24.989135
561.803401,50,25.025372
693.345071,50,25.060688
544.432969,50,25.096578
721.003169,50,25.135955
740.24016,50,25.172415
816.056545,50,25.212118
758.393553,50,25.246539
502.723521,50,25.281127
633.887085,50,25.315349
718.736561,50,25.350466
467.582935,50,25.384871
553.063811,50,25.420066
680.122985,50,26.826526
706.035555,50,26.88504
565.164466,50,26.954004
784.157619,50,27.005334
646.871471,50,27.046869
765.76907,50,27.084972
546.152897,50,27.126834
562.07497,50,27.164393
685.100935,50,27.206616
404.311198,50,27.247798
629.83802,50,27.284757
634.579656,50,27.323344
446.996559,50,27.365193
749.459978,50,27.403541
613.288832,50,27.443827
480.578056,50,27.480745
514.942465,50,27.519477
574.291511,50,27.558596
561.82242,50,27.598343
660.463093,50,27.637379
692.440615,50,27.682181
518.349809,50,27.722752
612.792283,50,27.760956
594.273816,50,27.797765
704.434487,50,27.83573
664.87017,50,27.872299
628.790465,50,27.918397
714.237768,50,27.961511
795.139707,50,28.009875
697.223136,50,28.051387
414.841442,50,28.093133
610.461453,50,28.143474
687.448243,50,28.195691
684.142008,50,28.237007
629.902761,50,28.280056
583.291314,50,28.320294
874.834968,50,28.36688
756.557662,50,28.406682
582.420719,50,28.534897
444.230542,50,28.604872
788.072252,50,28.665158
642.654456,50,30.678009
531.25443,50,30.747304
533.745958,50,30.823591
416.574021,50,30.886479
782.400489,50,30.947152
681.851275,50,31.006866
520.968333,50,31.057838
499.814092,50,31.106576
653.034343,50,31.150665
750.733215,50,31.193165
993.719605,50,31.236303
524.673937,50,31.279033
772.855681,50,31.318991
627.753803,50,31.358333
605.28261,50,31.395409
646.824759,50,31.431019
739.87913,50,31.466961
516.904979,50,31.502165
613.525959,50,31.536201
360.161105,50,31.57144
788.230368,50,31.606583
640.04607,50,31.642536
622.919482,50,31.677441
550.691239,50,31.710956
822.686503,50,31.753463
765.356776,50,31.788674
815.27058,50,31.825943
637.437076,50,31.860833
748.067534,50,31.898794
652.594191,50,31.93266
584.827424,50,31.968254
507.097071,50,32.003826
548.865254,50,32.039068
793.877965,50,32.073563
903.941467,50,32.109255
452.39536,50,32.144485
530.244236,50,32.1789
549.483914,50,32.21537
714.905231,50,32.250673
561.680228,50,32.285408
479.318949,50,32.320849
